ID,URL,Title,Summary
1,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/Swiss_Internet_Governance_Forum_Messages_from_Bern_2022.pdf,"Submission by Swiss Internet Governance Forum, June 2022PDF","There is a need for regulation of artificial intelligence in Switzerland. Switzerland should adopt a more open approach. There is insufficient access to platform data and little understanding of how it works. Platforms are an important source of information, especially for young people, and influence the opinion-forming process. There should be a balance between state and private actors. Switzerland can do more in terms of building and building digital and data literacy. It is important to take international proposals as a basis for the domestic policy debate. A report by OFCOM and the FDFA envisages a code of conduct for dataspace operators. A high level of cybersecurity is the basis for successful digital transformation. There is a need to invest in the training and integration of young professionals to reduce the skills gap. It is important to fluidly articulate the link between the local community and our involvement in the digital world. It can also be used to enrich the discussions in these forums. It will be the main topic of the plenary sessions and workshops at Swiss IGF 2022."
2,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/New_York_University_Towards_A_Global_Digital_Governance_Architecture.pdf,"Submission by New York University's Center for Global Affairs, May 2022PDF","Towards A Global Digital Governance Architecture: Mapping Pathways for Cooperation and Inclusion is based on initiatives put forth by key sectors, private sector, governmental, civil society and mu lti-led initiatives. The report recommends that the Global South be given a more substantial voice at the discussion table to balance what is currently monopolized by the West. US and EU maintain a primary leadership role in the digital technologies field. China has been implementing Made in China 2025. Digital Services Coalition, CyberSecurity Tech Accord, Global Internet Forum to Counter Terrorism, and CyberSecurity Coalition were established in 2016."
3,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/220928_Action_Coalition_on_Innovation_and_Technology_for_Gender_Equality.pdf,"Submission by Action Coalition on Innovation and Technology for Gender Equality, September 2022PDF","The ActionCoalition on TechnologyandInnovation for GenderEquality wants to place equality at the heart of the Global DigitalCompact. They want to build a better, safer and more equal future. They have until the end of 2022 to prepare the GlobalDigitalCompact and voice their input into the process. They also want to improve the status of women in the workplace. They hope technology will help women and minorities in the workforce. It will also help people with disabilities. CSW 67 priority theme is “Innovation and t echnologic alchange, and education and inclusivepolicies.” and the empo wermen t of all women and girls. GlobalDigitalCompact should address the gender dimensions of digitalinequality and build the future specifically toward this change. It will require dedicated funding and investments, education, and tackling discriminatory norms and practices online and offline. It must also address the lack of women in leadership and technical positions. The Global Digital Compact aims to make gender one of the top priorities. It has been endorsed by the leaders of the Action Coalition on Innovation and Technology for Gender Equality: A+ Alliance, Government of Armenia, the Government of Chile, Digital Grassroots, the Global Fund for Women, ITU, Microsoft, the Rockefeller Foundation, the government of Rwanda, and UNICEF. If you want to join this initiative and see the name of your organization included here, register yourendorsement."
4,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/220929_Chinese_Academy_of_Sciences.pdf,"Submission by Chinese Academy of Sciences, September 2022PDF",The International Research Center of Big Data for Sustainable Goals (CBAS) is working to establish big data ecosystems with a particular focus on Big Earth Data. CBAS supports the idea of digital public goods for the SDGs. The report suggests a community supported open-source development approach that will help to improve innovation and novelty in methods and processes. The FAIR Guiding Principles for scientific data management and stewardship are suggested by experts for developing digital public good for SDG indicators. There are challenges to organize and streamline the development of the project. There is also challenges to standardization and interoperability processes.
5,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/220929_Int_Federation_of_Library_Associations_and_Institutions.pdf,"Submission by International Federation of Library Associations and Institutions, September 2022PDF","The Principles of Connecting the Internet are based on the Universal Declaration of Right of Access to Information. Governments should ensure that access to information and participation in information society is part of any national bill of rights or constitution. Libraries should promote the value and attractiveness of connectivity by supporting the creation of relevant services and content. There should be an ongoing focus on basic literacy as a gateway to other forms of literacy. Newer forms of connectivity should be enabled to bring people online. EdTech services should be available by default to children and students who may be unable to opt out. There is a need for clear penalties for infringing rights of others online. Libraries should take a leading role in promoting human rights in the information space. Librarian staff should be aware of discrimination, misinformation and deliberately spreading harmful misinformation. Governments should act promptly to update copyright laws and pass an international legal instrument that would ensure a minimum set of digital-ready provisions for re search, education and access to culture. UNESCO recommends promoting open research and promoting community ownership and open licensing to improve the quality of the public goods."
6,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/221010_Global_Partners_Digital_input_to_GDC.pdf,"Submission by Global Partners Digital, October 2022PDF","There are seven areas of the Global Digital Compact mentioned in the Secretary-General’s. Core Principles include T h e  i n t e r n a t i o n a l, P r i v i d u a l and A I. Submissions in this form are limited to 2500 characters per text. The submission will not be part of the automated data visualization. It will be made available online. If there are any additional areas that you feel should also be included, please submit them under the category of “Other Areas” below."
7,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/221011_International_Chamber_of_Commerce.pdf,"Submission by International Chamber of Commerce, October 2022PDF","ICC BASIS provides a key statement to the Global Digital Compact about the key principles of delivering universal meaningful connectivity. They also provide key recommendations on how to improve access to the internet. ICC supports the Internet Governance Forum Po licy Network on Internet Fragmentation. The core principles of core principles are to protect the Internet from fragmenting and fragmenting. The G7 Trade Ministers’ Digital Trade Principles aim to enable open digital markets, data free flow with trust, safeguards for workers, consumers and businesses; and fair and inclusive global governance."
8,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC_Stimson_Center_Rethinking-Global-Cooperation.pdf,"Submission by Stimson Center (specifically pages 26-36), October 2022PDF","The Stimson Center's report is published by the Commission on Global Governance, Justice & Governance. UN Secretary-General António Guterres called for a Summit of the Future in September 2024 to address the world's pressing global challenges. The Road to 2023: Our Common Agenda and the Pact for The Future is published in June 2022. Global populations affected by hunger rose to 828 million in 2021, a jump of 150 million since before the pandemic. In 2021, for the first time, the number of forcibly displaced people reached 89.3 million, of whom 53 million were displaced within their own countries. The Summit of the Future will be held on 22 and 23 September in New York. The People’s Pact for the Future is finalized in early 2023 at the Global Futures Forum. The UN budget dedicated to youth affairs has shrunk from 7% in 2015 to 4% in 2019. Qatar will host international meetings on Afghan Peace in 2022. PassBlue.com and SonicWall.com are looking for a solution to the cyberwar and the use of nuclear weapons is still taboo in the world."
9,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC_submission_EuroSSIG.pdf,"Submission by the fellows of the 2022 European Summer School on Internet Governance (EuroSSIG), November 2022PDF","The European Summer School on Internet Governance (EuroSSIG) invited the UN Under Secretary General to submit a submission to the Global Digital Compact to the UN Secretary General’s Envoy on Technology. Since 2007, 363 fellows from 97 countries aged between 20 to 70 years attended the EuroSSIG. They agreed to connect all people to the Internet, including all schools, with special attention to affordability, digital skills, digital security, and social indicators. Governments, the private sector, and the technical community should be accountable for their commitments to prevent the fragmentation of the internet."
10,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/Equity_2030_Building_Equitable_Future_Submission_for_Global_Digital_Compact.pdf,"Submission by UNFPA (part I), January 2023PDF","In November 2022, the world’s population reached 8 billion. There is still a significant gap in gender equity in technology, data, and financing solutions. The study from 2018 showed that only 20% of health care companies had ever funded a venture for women. The lack of inclusion in technology makes many virtual spaces unsafe for women and girls. It is time to start treating it as a digital revolution as such. It can be a great equalizer to disrupt the status quo. It's time to set the agenda. The development of technological solutions and policymaking should include gender equity in the design of all digital solutions at all stages. The Global.Digital.Compact should promote a.gender -transformative approach to the Global Programme to End. Child Marriage Phase II: a summary for practitioners. UNICEF &.FPA’s ‘Our.Common.Agenda’. and “Roadmap for Digital.Cooperation”, respectively, should be taken to. collectively achieve gender equity. TheGlobal.Digital.Compact should promote diversity, equity, equity and women-centric digital solutions and relevant investments. Data is needed to track progress and monitor progress, and to ensure that the goals are met. The Global. Digital.Compacts. It should also encourage investment across all digital solution processes and value chains. It is necessary to shift the shift in the distribution of the.gender -inclusive digital solutions, and the.ability in digital solutions. It also encourages the development of sustainable development. This statement has been endorsed by the following entities:Admiral Development Or Ganization, Bayer Pharma AG, Berlin Partner for Business and Technology, and the World Wide Web Foundation. It is aimed at eradicating gender inequity in digital solutions and building an inclusive, sustainable, inclusive and gender-equal future where women’s needs are met, and their potential is fulfilled. If you want to sign up, send your confirmation to:hereorhereorthe@unpaorg."
