id,URL,Category
1,https://www.telegraph.co.uk/news/2023/12/28/the-importance-of-food-resilience/,Food & agriculture
2,https://www.theguardian.com/world/2023/dec/26/the-guardian-view-on-the-caribbean-the-island-shaped-arguments-about-historical-injustice,International politics
3,https://www.thesun.co.uk/news/25153667/sun-says-keir-starmer-green-pledge/,UK politics
4,https://www.ft.com/content/274fac45-7f38-493f-8ce8-7b7ea3e54ad0,Extreme weather & adaptation
5,https://www.telegraph.co.uk/opinion/2023/12/20/bps-act-of-generosity,Oil & gas
6,https://www.thetimes.co.uk/article/the-times-view-on-bp-and-the-british-museum-beyond-petroleum-nnf8cbpsb,Oil & gas
7,https://www.dailymail.co.uk/debate/article-12870515/DAILY-MAIL-COMMENT-Starmer-lets-slip-true-colours.html,UK politics
8,https://www.ft.com/content/21852bf3-80e6-46f7-ad06-c94d89bc90de,International politics
9,https://www.thesun.co.uk/news/25032631/rishi-sunak-rwanda-bill-tory-rebels/,International politics
10,https://www.thesun.co.uk/news/25019934/rishi-sunaks-appearance-covid-inquiry-reminder-competence/,Activism
11,https://www.theguardian.com/commentisfree/2023/dec/10/the-guardian-view-on-labour-and-the-climate-crisis-the-28bn-question-deserves-an-answer,UK politics
12,https://www.theguardian.com/commentisfree/2023/dec/08/the-guardian-view-on-cop28-a-phase-out-of-fossil-fuels-is-the-only-decision-that-makes-sense,International politics
13,https://www.theguardian.com/commentisfree/2023/dec/07/the-guardian-view-on-sellafield-scandals-ministers-must-put-public-safety-before-secrecy,Nuclear
14,https://www.telegraph.co.uk/opinion/2023/12/04/a-clash-at-cop28/,International politics
15,https://www.theguardian.com/commentisfree/2023/dec/03/the-guardian-view-on-a-non-proliferation-treaty-fossil-fuels-are-weapons-of-mass-destruction?utm_source=cbnewsletter&utm_medium=email&utm_term=2023-12-19&utm_campaign=Daily+Briefing+04+12+2023,International politics
16,"",UK climate policy
17,https://www.dailymail.co.uk/news/article-12816611/DAILY-MAIL-COMMENT-Private-firms-key-greener-planet.html,UK climate policy
18,https://www.thetimes.co.uk/article/the-times-view-on-cop28-pragmatic-climate-commitment-k89kkrlsh,International politics
19,https://www.theguardian.com/commentisfree/2023/dec/01/the-guardian-view-on-cop28-energy-companies-are-not-the-only-ones-with-a-carbon-addiction?utm_source=cbnewsletter&utm_medium=email&utm_term=2023-12-19&utm_campaign=Daily+Briefing+04+12+2023,International politics
20,https://www.telegraph.co.uk/opinion/2023/12/01/climate-jamboree/,International politics
21,https://www.independent.co.uk/voices/editorials/cop28-dubai-world-leaders-climate-change-b2456370.html,International politics
22,https://www.thesun.co.uk/news/24912314/rishi-sunak-huge-credit-china-eco-pledges/,UK politics
23,https://www.mirror.co.uk/news/uk-news/its-time-pay-tory-failings-31570355,International politics
24,https://www.dailymail.co.uk/news/article-12807535/DAILY-MAIL-COMMENT-Lets-joined-plan-cut-migration.html,UK climate policy
25,https://www.thesun.co.uk/news/24900770/eu-crumbling-britain-out-just-in-time/,UK politics
26,https://www.independent.co.uk/voices/editorials/cop28-dubai-uae-king-charles-global-boiling-b2455566.html,International politics
27,https://www.ft.com/content/502f722b-8455-4ac0-ac2e-c3a6755247b1,International politics
28,https://www.theguardian.com/commentisfree/2023/nov/28/the-guardian-view-on-betting-the-planet-a-big-oil-producer-presiding-over-cop28-is-a-risk,International politics
29,https://www.thetimes.co.uk/article/the-times-view-on-labours-economic-plans-starmers-spending-mpwrlbjzz,UK politics
30,https://www.thetimes.co.uk/article/as-the-two-parties-chase-each-others-shadow-britain-suffers-qxtv3nthk,UK politics
31,https://www.theguardian.com/commentisfree/2023/nov/24/the-guardian-view-on-the-carbon-divide-climate-policies-must-target-the-private-jet-set,International politics
32,https://www.dailymail.co.uk/news/article-12777747/DAILY-MAIL-COMMENT-police-build-bridges-Press.html,Activism
33,https://www.theguardian.com/commentisfree/2023/nov/20/the-guardian-view-on-argentinas-new-president-a-dark-day-for-democracy,International politics
34,https://www.ft.com/content/937b5d4f-2c3f-42fa-8be2-f0b804841b49,China
35,https://www.mirror.co.uk/news/politics/a-proper-windfall-tax-energy-31459728,Energy prices
