id,iati_identifier,climate_label
1,GB-1-113310-118,No adaptation or mitigation as a principle or significant objective
2,GB-GOV-1-301495-109,Adaptation or mitigation as a principle or significant objective
3,GB-1-201101-111,No adaptation or mitigation as a principle or significant objective
4,GB-1-202400,No adaptation or mitigation as a principle or significant objective
5,GB-GOV-3-PAP-CNF-002139,No adaptation or mitigation as a principle or significant objective
6,GB-1-201918-105,Adaptation or mitigation as a principle or significant objective
7,GB-GOV-3-HRRBIS-GM,No adaptation or mitigation as a principle or significant objective
8,GB-1-201404,No adaptation or mitigation as a principle or significant objective
9,GB-1-114479-103,No adaptation or mitigation as a principle or significant objective
10,GB-1-202136-101,No adaptation or mitigation as a principle or significant objective
11,GB-1-203706-102,No adaptation or mitigation as a principle or significant objective
12,GB-GOV-1-300415-105,No adaptation or mitigation as a principle or significant objective
13,GB-1-204149,No adaptation or mitigation as a principle or significant objective
14,GB-GOV-1-300554,Adaptation or mitigation as a principle or significant objective
15,GB-GOV-1-300900,No adaptation or mitigation as a principle or significant objective
16,GB-1-204570-103,No adaptation or mitigation as a principle or significant objective
17,GB-GOV-1-300030,No adaptation or mitigation as a principle or significant objective
18,GB-GOV-1-300116-103,No adaptation or mitigation as a principle or significant objective
19,GB-1-203986-105,No adaptation or mitigation as a principle or significant objective
20,GB-GOV-1-300772-109,No adaptation or mitigation as a principle or significant objective
21,GB-1-204270-117,Adaptation or mitigation as a principle or significant objective
22,GB-1-113614,No adaptation or mitigation as a principle or significant objective
23,GB-GOV-1-300363-102,No adaptation or mitigation as a principle or significant objective
24,GB-1-203559-136,No adaptation or mitigation as a principle or significant objective
25,GB-1-202791,No adaptation or mitigation as a principle or significant objective
26,GB-GOV-3-Frontline Diplomatic Enabling Activity-PH,No adaptation or mitigation as a principle or significant objective
27,GB-1-107460-106,No adaptation or mitigation as a principle or significant objective
28,GB-1-201888,No adaptation or mitigation as a principle or significant objective
29,GB-1-114520,No adaptation or mitigation as a principle or significant objective
30,GB-GOV-3-PPF-EDD-000002,No adaptation or mitigation as a principle or significant objective
31,GB-1-200217,No adaptation or mitigation as a principle or significant objective
32,GB-1-200171-111,No adaptation or mitigation as a principle or significant objective
33,GB-1-202506,No adaptation or mitigation as a principle or significant objective
34,GB-1-205231-121,Adaptation or mitigation as a principle or significant objective
35,GB-GOV-3-PAM-PNP-000073,No adaptation or mitigation as a principle or significant objective
36,GB-1-205060-101,No adaptation or mitigation as a principle or significant objective
37,GB-1-201290-101,No adaptation or mitigation as a principle or significant objective
38,GB-GOV-3-PPY-CHN-1512,No adaptation or mitigation as a principle or significant objective
39,GB-1-203705-120,No adaptation or mitigation as a principle or significant objective
40,GB-1-203755-101,No adaptation or mitigation as a principle or significant objective
41,GB-1-201378-102,No adaptation or mitigation as a principle or significant objective
42,GB-1-201055-102,No adaptation or mitigation as a principle or significant objective
43,GB-1-204531-102,No adaptation or mitigation as a principle or significant objective
44,GB-1-203966,No adaptation or mitigation as a principle or significant objective
45,GB-1-205077-101,No adaptation or mitigation as a principle or significant objective
46,GB-1-107707-102,No adaptation or mitigation as a principle or significant objective
47,GB-1-205258-103,Adaptation or mitigation as a principle or significant objective
48,GB-1-202692-110,No adaptation or mitigation as a principle or significant objective
49,GB-1-113576-101,No adaptation or mitigation as a principle or significant objective
50,GB-1-200485,No adaptation or mitigation as a principle or significant objective
51,GB-GOV-1-301165-999,No adaptation or mitigation as a principle or significant objective
52,GB-1-201183,No adaptation or mitigation as a principle or significant objective
53,GB-1-200858-101,No adaptation or mitigation as a principle or significant objective
54,GB-1-114363-102,No adaptation or mitigation as a principle or significant objective
55,GB-1-205142,Adaptation or mitigation as a principle or significant objective
56,GB-1-205207-101,No adaptation or mitigation as a principle or significant objective
57,GB-1-201089-101,No adaptation or mitigation as a principle or significant objective
58,GB-GOV-1-301038-106,No adaptation or mitigation as a principle or significant objective
59,GB-GOV-3-PF-CHP-912014,No adaptation or mitigation as a principle or significant objective
60,GB-GOV-1-300385-999,No adaptation or mitigation as a principle or significant objective
61,GB-GOV-1-300484-101,No adaptation or mitigation as a principle or significant objective
62,GB-1-201093-102,No adaptation or mitigation as a principle or significant objective
63,GB-GOV-1-300631,No adaptation or mitigation as a principle or significant objective
64,GB-1-204232-109,No adaptation or mitigation as a principle or significant objective
65,GB-1-202372-105,No adaptation or mitigation as a principle or significant objective
66,GB-1-203719-101,No adaptation or mitigation as a principle or significant objective
67,GB-1-200236-101,No adaptation or mitigation as a principle or significant objective
68,GB-1-113511-103,No adaptation or mitigation as a principle or significant objective
69,GB-1-114500-102,No adaptation or mitigation as a principle or significant objective
70,GB-GOV-1-300109-105,No adaptation or mitigation as a principle or significant objective
71,GB-1-201158-101,No adaptation or mitigation as a principle or significant objective
72,GB-GOV-3-PF-IND-925,No adaptation or mitigation as a principle or significant objective
73,GB-1-204358-103,No adaptation or mitigation as a principle or significant objective
74,GB-1-114250-102,No adaptation or mitigation as a principle or significant objective
75,GB-GOV-1-301426,No adaptation or mitigation as a principle or significant objective
76,GB-1-203137,No adaptation or mitigation as a principle or significant objective
77,GB-1-202468-102,No adaptation or mitigation as a principle or significant objective
78,GB-1-114463-101,No adaptation or mitigation as a principle or significant objective
79,GB-1-202215,No adaptation or mitigation as a principle or significant objective
80,GB-1-113856-101,No adaptation or mitigation as a principle or significant objective
81,GB-1-202495-105,No adaptation or mitigation as a principle or significant objective
82,GB-1-104617-102,No adaptation or mitigation as a principle or significant objective
83,GB-GOV-1-300936-403,No adaptation or mitigation as a principle or significant objective
84,GB-1-200329-108,No adaptation or mitigation as a principle or significant objective
85,GB-GOV-1-301150-123,No adaptation or mitigation as a principle or significant objective
86,GB-GOV-3-PPY-APMON-000005,No adaptation or mitigation as a principle or significant objective
87,GB-1-113701,No adaptation or mitigation as a principle or significant objective
88,GB-1-202974-108,No adaptation or mitigation as a principle or significant objective
89,GB-1-102415-101,No adaptation or mitigation as a principle or significant objective
90,GB-GOV-1-400010-401,No adaptation or mitigation as a principle or significant objective
91,GB-1-203764-101,No adaptation or mitigation as a principle or significant objective
92,GB-1-204136-103,No adaptation or mitigation as a principle or significant objective
