id,url,subconcept,concept
1,http://library.health.go.ug/health-information-systems/digital-health/uganda-health-information-and-digital-health-strategic,Foundational systems,Information Systems
2,https://a4ai.org/mobile-data-cost-have-increased-making-internet-connectivity-unaffordable-for-many/,Digital inequality,Data Values
3,https://academic.oup.com/book/44144?login=false,Political economy of data,National Governance
4,https://admindatahandbook.mit.edu/index.html,Administrative data,Digital transformation
5,https://aisel.aisnet.org/pacis2020/96/,Foundational systems,Information Systems
6,https://aisp.upenn.edu/resource-article/expanding-mobility-the-power-of-linked-administrative-data-integrated-data-systems/,Administrative data,Digital transformation
7,https://ajic.wits.ac.za/article/view/12941,e-government,Digital transformation
8,https://alkags.me/index.php/administrative-data-and-the-end-of-government-statistics-as-we-know-it/,Administrative data,Digital transformation
9,https://apo.org.au/node/318449,Non-official data,Information Systems
10,https://archpublichealth.biomedcentral.com/articles/10.1186/s13690-022-00805-6,Foundational systems,Information Systems
11,https://archpublichealth.biomedcentral.com/articles/10.1186/s13690-023-01067-6,Foundational systems,Information Systems
12,https://arxiv.org/abs/2106.15590,Technology,Digital transformation
13,https://arxiv.org/abs/2108.09748,Foundational systems,Information Systems
14,https://arxiv.org/ftp/arxiv/papers/2302/2302.13731.pdf,Governance frameworks,Global Governance
15,https://ash.harvard.edu/narrow-corridor-and-future-digital-government,Political economy of data,National Governance
16,https://blogs.lse.ac.uk/impactofsocialsciences/2022/05/05/who-uses-open-access-research-evidence-from-the-use-of-us-national-academies-reports/,Data demand and use,National Governance
17,https://blogs.worldbank.org/developmenttalk/four-constraints-adoption-electronic-data-collection-methods,ICT infrastructures,Digital transformation
18,https://blogs.worldbank.org/digital-development/how-digital-public-infrastructure-supports-empowerment-inclusion-and-resilience,ICT infrastructures,Digital transformation
19,https://blogs.worldbank.org/governance/new-approach-customs-reform-niger-positive-results-based-data-science-and-innovative?cid=gov_tt_gov_en_ext,Technology,Digital transformation
20,https://blogs.worldbank.org/opendata/8-technical-priorities-position-household-surveys-next-decade?CID=WBW_AL_BlogNotification_EN_EXT,Censuses and surveys,Information Systems
21,https://blogs.worldbank.org/opendata/boosting-data-literacy-and-increasing-demand-data-use-africa-region,Data demand and use,National Governance
22,https://blogs.worldbank.org/opendata/conference-round-role-mobile-data-global-development-research,ICT infrastructures,Digital transformation
23,https://blogs.worldbank.org/opendata/decades-learning-and-experience-trust-fund-statistical-capacity-building-inform-new-global,Statistical governance,National Governance
