id,iati_identifier,climate_label
5459,GB-GOV-1-301263-101,No adaptation or mitigation as a principle or significant objective
4621,GB-GOV-1-300820-102,No adaptation or mitigation as a principle or significant objective
5286,GB-1-205065-101,No adaptation or mitigation as a principle or significant objective
23587,GB-GOV-3-Women and Girls-MM,No adaptation or mitigation as a principle or significant objective
20010,GB-1-113765,No adaptation or mitigation as a principle or significant objective
17484,GB-1-201195,No adaptation or mitigation as a principle or significant objective
10427,GB-1-205055-110,No adaptation or mitigation as a principle or significant objective
23308,GB-1-112140-103,No adaptation or mitigation as a principle or significant objective
13850,GB-1-203085-104,No adaptation or mitigation as a principle or significant objective
1782,GB-1-202927-116,No adaptation or mitigation as a principle or significant objective
24143,GB-1-114353,No adaptation or mitigation as a principle or significant objective
17565,GB-GOV-3-PMN-BIPB-IQB-1715001,No adaptation or mitigation as a principle or significant objective
15980,GB-GOV-1-300402-101,No adaptation or mitigation as a principle or significant objective
3309,GB-1-113754,No adaptation or mitigation as a principle or significant objective
10975,GB-1-204510,No adaptation or mitigation as a principle or significant objective
4471,GB-1-106009-101,No adaptation or mitigation as a principle or significant objective
7270,GB-GOV-3-PPF-COB-000009,No adaptation or mitigation as a principle or significant objective
17066,GB-GOV-1-300785,No adaptation or mitigation as a principle or significant objective
16331,GB-1-203855-102,No adaptation or mitigation as a principle or significant objective
20529,GB-1-114175-104,No adaptation or mitigation as a principle or significant objective
10121,GB-1-201679,No adaptation or mitigation as a principle or significant objective
17546,GB-1-113976,No adaptation or mitigation as a principle or significant objective
20839,GB-1-204469-104,No adaptation or mitigation as a principle or significant objective
15345,GB-GOV-1-300478,No adaptation or mitigation as a principle or significant objective
16549,GB-GOV-1-301542-402,No adaptation or mitigation as a principle or significant objective
23548,GB-1-113462-104,No adaptation or mitigation as a principle or significant objective
3471,GB-1-204520-103,No adaptation or mitigation as a principle or significant objective
11334,GB-GOV-3-PPF-BRB-000009,No adaptation or mitigation as a principle or significant objective
15304,GB-1-204296-106,No adaptation or mitigation as a principle or significant objective
6563,GB-1-203463-101,No adaptation or mitigation as a principle or significant objective
21962,GB-1-103013-101,No adaptation or mitigation as a principle or significant objective
3635,GB-1-200960,No adaptation or mitigation as a principle or significant objective
15087,GB-1-114463,No adaptation or mitigation as a principle or significant objective
8413,GB-GOV-1-301252-401,No adaptation or mitigation as a principle or significant objective
19517,GB-GOV-3-PMP-RBIS-MUL-041704,No adaptation or mitigation as a principle or significant objective
