id,iati_identifier,climate_label
1,44000-P152359,No adaptation or mitigation as a principle or significant objective
2,44000-P165509,Adaptation or mitigation as a principle or significant objective
3,44000-P093699,No adaptation or mitigation as a principle or significant objective
4,44000-P152659,Adaptation or mitigation as a principle or significant objective
5,44000-P162263,Adaptation or mitigation as a principle or significant objective
6,44000-P163657,No adaptation or mitigation as a principle or significant objective
7,44000-P096801,No adaptation or mitigation as a principle or significant objective
8,44000-P123352,No adaptation or mitigation as a principle or significant objective
9,44000-P160083,No adaptation or mitigation as a principle or significant objective
10,44000-P127867,No adaptation or mitigation as a principle or significant objective
11,44000-P106172,No adaptation or mitigation as a principle or significant objective
12,44000-P104749,No adaptation or mitigation as a principle or significant objective
13,44000-P075964,No adaptation or mitigation as a principle or significant objective
14,44000-P102459,Adaptation or mitigation as a principle or significant objective
15,44000-P175221,Adaptation or mitigation as a principle or significant objective
16,44000-P156880,Adaptation or mitigation as a principle or significant objective
17,44000-P160223,Adaptation or mitigation as a principle or significant objective
18,44000-P179291,No adaptation or mitigation as a principle or significant objective
19,44000-P115647,No adaptation or mitigation as a principle or significant objective
20,44000-P128867,No adaptation or mitigation as a principle or significant objective
21,44000-P112956,No adaptation or mitigation as a principle or significant objective
22,44000-P126278,No adaptation or mitigation as a principle or significant objective
23,44000-P146332,No adaptation or mitigation as a principle or significant objective
24,44000-P133069,No adaptation or mitigation as a principle or significant objective
25,44000-P112074,Adaptation or mitigation as a principle or significant objective
26,44000-P130184,No adaptation or mitigation as a principle or significant objective
27,44000-P111421,No adaptation or mitigation as a principle or significant objective
28,44000-P176663,Adaptation or mitigation as a principle or significant objective
29,44000-P163721,No adaptation or mitigation as a principle or significant objective
30,44000-P101336,No adaptation or mitigation as a principle or significant objective
31,44000-P158768,No adaptation or mitigation as a principle or significant objective
32,44000-P109691,No adaptation or mitigation as a principle or significant objective
33,44000-P166303,No adaptation or mitigation as a principle or significant objective
34,44000-P163533,Adaptation or mitigation as a principle or significant objective
35,44000-P173008,No adaptation or mitigation as a principle or significant objective
36,44000-P171474,Adaptation or mitigation as a principle or significant objective
37,44000-P179440,No adaptation or mitigation as a principle or significant objective
38,44000-P176756,No adaptation or mitigation as a principle or significant objective
39,44000-P112446,No adaptation or mitigation as a principle or significant objective
40,44000-P123729,Adaptation or mitigation as a principle or significant objective
41,44000-P163157,No adaptation or mitigation as a principle or significant objective
42,44000-P173799,No adaptation or mitigation as a principle or significant objective
43,44000-P122785,No adaptation or mitigation as a principle or significant objective
44,44000-P131084,No adaptation or mitigation as a principle or significant objective
45,44000-P173558,Adaptation or mitigation as a principle or significant objective
46,44000-P126813,Adaptation or mitigation as a principle or significant objective
47,44000-P131688,No adaptation or mitigation as a principle or significant objective
48,44000-P101426,No adaptation or mitigation as a principle or significant objective
49,44000-P149277,No adaptation or mitigation as a principle or significant objective
50,44000-P124514,No adaptation or mitigation as a principle or significant objective
51,44000-P166013,No adaptation or mitigation as a principle or significant objective
52,44000-P100332,No adaptation or mitigation as a principle or significant objective
53,44000-P168911,No adaptation or mitigation as a principle or significant objective
54,44000-P159655,No adaptation or mitigation as a principle or significant objective
55,44000-P111598,Adaptation or mitigation as a principle or significant objective
56,44000-P050272,No adaptation or mitigation as a principle or significant objective
57,44000-P121455,No adaptation or mitigation as a principle or significant objective
58,44000-P180323,Adaptation or mitigation as a principle or significant objective
59,44000-P123480,No adaptation or mitigation as a principle or significant objective
60,44000-P122153,No adaptation or mitigation as a principle or significant objective
61,44000-P169267,No adaptation or mitigation as a principle or significant objective
62,44000-P102174,No adaptation or mitigation as a principle or significant objective
63,44000-P115886,No adaptation or mitigation as a principle or significant objective
64,44000-P173407,No adaptation or mitigation as a principle or significant objective
65,44000-P090309,No adaptation or mitigation as a principle or significant objective
66,44000-P159040,Adaptation or mitigation as a principle or significant objective
67,44000-P106449,No adaptation or mitigation as a principle or significant objective
68,44000-P110018,No adaptation or mitigation as a principle or significant objective
69,44000-P171751,Adaptation or mitigation as a principle or significant objective
70,44000-P177053,Adaptation or mitigation as a principle or significant objective
71,44000-P096263,No adaptation or mitigation as a principle or significant objective
72,44000-P075173,No adaptation or mitigation as a principle or significant objective
73,44000-P175011,Adaptation or mitigation as a principle or significant objective
74,44000-P106768,No adaptation or mitigation as a principle or significant objective
75,44000-P130174,Adaptation or mitigation as a principle or significant objective
76,44000-P131655,No adaptation or mitigation as a principle or significant objective
77,44000-P126034,No adaptation or mitigation as a principle or significant objective
78,44000-P166996,No adaptation or mitigation as a principle or significant objective
79,44000-P075399,No adaptation or mitigation as a principle or significant objective
80,44000-P175295,Adaptation or mitigation as a principle or significant objective
81,44000-P173373,No adaptation or mitigation as a principle or significant objective
82,44000-P109736,No adaptation or mitigation as a principle or significant objective
83,44000-P176306,No adaptation or mitigation as a principle or significant objective
84,44000-P118597,No adaptation or mitigation as a principle or significant objective
85,44000-P116542,No adaptation or mitigation as a principle or significant objective
86,44000-P158807,No adaptation or mitigation as a principle or significant objective
87,44000-P164686,No adaptation or mitigation as a principle or significant objective
88,44000-P160641,Adaptation or mitigation as a principle or significant objective
89,44000-P111567,No adaptation or mitigation as a principle or significant objective
90,44000-P163108,No adaptation or mitigation as a principle or significant objective
91,44000-P096931,No adaptation or mitigation as a principle or significant objective
92,44000-P079736,No adaptation or mitigation as a principle or significant objective
93,44000-P162599,No adaptation or mitigation as a principle or significant objective
94,44000-P107782,No adaptation or mitigation as a principle or significant objective
95,44000-P082026,No adaptation or mitigation as a principle or significant objective
96,44000-P116273,No adaptation or mitigation as a principle or significant objective
97,44000-P166220,Adaptation or mitigation as a principle or significant objective
98,44000-P154805,No adaptation or mitigation as a principle or significant objective
99,44000-P167260,No adaptation or mitigation as a principle or significant objective
100,44000-P179512,No adaptation or mitigation as a principle or significant objective
101,44000-P099369,No adaptation or mitigation as a principle or significant objective
102,44000-P167601,No adaptation or mitigation as a principle or significant objective
103,44000-P177776,Adaptation or mitigation as a principle or significant objective
104,44000-P122692,No adaptation or mitigation as a principle or significant objective
105,44000-P154990,Adaptation or mitigation as a principle or significant objective
106,44000-P143988,Adaptation or mitigation as a principle or significant objective
107,44000-P170542,No adaptation or mitigation as a principle or significant objective
108,44000-P144688,No adaptation or mitigation as a principle or significant objective
109,44000-P174757,No adaptation or mitigation as a principle or significant objective
110,44000-P120583,Adaptation or mitigation as a principle or significant objective
111,44000-P117731,No adaptation or mitigation as a principle or significant objective
112,44000-P154275,Adaptation or mitigation as a principle or significant objective
113,44000-P180674,Adaptation or mitigation as a principle or significant objective
114,44000-P101214,No adaptation or mitigation as a principle or significant objective
115,44000-P163540,No adaptation or mitigation as a principle or significant objective
116,44000-P150381,No adaptation or mitigation as a principle or significant objective
117,44000-P173088,Adaptation or mitigation as a principle or significant objective
118,44000-P163345,No adaptation or mitigation as a principle or significant objective
119,44000-P179447,Adaptation or mitigation as a principle or significant objective
120,44000-P165838,Adaptation or mitigation as a principle or significant objective
121,44000-P171440,Adaptation or mitigation as a principle or significant objective
122,44000-P165557,No adaptation or mitigation as a principle or significant objective
123,44000-P121779,No adaptation or mitigation as a principle or significant objective
124,44000-P106208,No adaptation or mitigation as a principle or significant objective
125,44000-P098948,No adaptation or mitigation as a principle or significant objective
126,44000-P174867,Adaptation or mitigation as a principle or significant objective
127,44000-P163830,No adaptation or mitigation as a principle or significant objective
128,44000-P095091,No adaptation or mitigation as a principle or significant objective
129,44000-P175878,Adaptation or mitigation as a principle or significant objective
130,44000-P164451,Adaptation or mitigation as a principle or significant objective
131,44000-P173025,Adaptation or mitigation as a principle or significant objective
132,44000-P157531,No adaptation or mitigation as a principle or significant objective
133,44000-P092618,No adaptation or mitigation as a principle or significant objective
134,44000-P148435,No adaptation or mitigation as a principle or significant objective
135,44000-P172567,Adaptation or mitigation as a principle or significant objective
136,44000-P172899,No adaptation or mitigation as a principle or significant objective
137,44000-P155694,No adaptation or mitigation as a principle or significant objective
