id,url,subconcept,concept
1,https://actionaid.org/publications/2022/analysing-european-union-institutions-flows-total-official-support-sustainable,International Finance Flows,Development Finance
2,https://african.business/2023/02/finance-services/what-can-next-president-of-world-bank-learn-from-afdb-and-aiib/,Aid in countries,Development Finance
3,https://blogs.worldbank.org/opendata/when-there-enough-data-create-global-statistic?CID=WBW_AL_BlogNotification_EN_EXT,International Finance Architecture,Development Finance
4,https://brics-econ.arphahub.com/article/99323/,International Finance Architecture,Development Finance
5,https://brics-econ.arphahub.com/article/99454/,International Finance Architecture,Development Finance
6,https://bristol.ac.uk/golding/media/dataweek-schedule/ | http://www.bristol.ac.uk/golding/get-involved/data-week/,Unclassified,Unclassified
7,https://developmentreimagined.com/portfolio-posts/reimagining-the-international-finance-system-for-africa-imf-and-world-bank-annual-meetings-policy-brief/,International Finance Architecture,Development Finance
8,https://devinit.org/blog/aid-governance-civic-space-covid-19/,Global trends,ODA
9,https://devinit.org/blog/beyond-vested-interests-reforming-international-cooperation-post-covid-19/,Global Public Investment,Development Finance
10,https://devinit.org/blog/blended-finance-oda-best-use-limited-resource/,Blended Finance,Development Finance
11,https://devinit.org/blog/blended-financing-help-worlds-poorest/,Blended Finance,Development Finance
12,https://devinit.org/blog/blog-blended-finance-impact/,Blended Finance,Development Finance
13,https://devinit.org/blog/build-back-better-risk-informed-development-cooperation/,Global Public Investment,Development Finance
14,https://devinit.org/blog/closing-the-gap-meeting-the-challenge-to-leave-no-one-behind/,International Finance Architecture,Development Finance
15,https://devinit.org/blog/common-challenges-differentiated-impacts/,Unclassified,Development Finance
16,https://devinit.org/blog/counting-excess-vaccine-donations-oda-inflated-aid-2021/,Dac rules,ODA
17,https://devinit.org/blog/covid-19-and-targeting-oda-poverty-can-covid-19-be-call-improve-oda-targeting-towards-people-greatest-poverty/,Aid and poverty,ODA
18,https://devinit.org/blog/creating-new-financing-paradigm-africa/,International Finance Architecture,Development Finance
19,https://devinit.org/blog/current-financing-mechanisms-are-failing-to-deliver-the-sustainable-development-goals/,Global Public Investment,Development Finance
20,https://devinit.org/blog/dac-debate-why-aid-measurement-matters/,Dac rules,ODA
21,https://devinit.org/blog/development-cooperation-improved-data/,International Finance Architecture,Development Finance
22,https://devinit.org/blog/emergency-accommodation-costs-uk-home-office-diverting-aid/,UK aid,ODA
23,https://devinit.org/blog/financing-for-sustainable-development/,International Finance Architecture,Development Finance
24,https://devinit.org/blog/future-of-financing-for-development-in-countries-with-greatest-needs/,International Finance Architecture,Development Finance
25,https://devinit.org/blog/global-pandemic-international-cooperation-and-financing-global-public-goods/,Global Public Investment,Development Finance
26,https://devinit.org/blog/how-covid-19-can-change-incentives-development-cooperation/,International Finance Architecture,Development Finance
27,https://devinit.org/blog/how-track-oda-gender-based-violence-gbv-responses/,Global trends,ODA
28,https://devinit.org/blog/latest-aid-data-multilateral-loans-poorest-countries/,Global trends,ODA
29,https://devinit.org/blog/latest-data-uk-fcdo-nutrition-spending/,UK aid,ODA
30,https://devinit.org/blog/latest-trends-uk-aid-spending-nutrition/,UK aid,ODA
31,https://devinit.org/blog/latest-trends-uk-aid-spending-tackle-malnutrition/,UK aid,ODA
32,https://devinit.org/blog/lessons-from-coronavirus-for-the-future-of-aid/,Global Public Investment,Development Finance
33,https://devinit.org/blog/missed-opportunity-improve-uk-aid/,UK aid,ODA
34,https://devinit.org/blog/new-dac-data-reveals-impact-of-ukraine-invasion-on-aid/,Global trends,ODA
35,https://devinit.org/blog/oda-for-blending/,Blended Finance,Development Finance
36,https://devinit.org/blog/oda-for-domestic-resource-mobilisation-is-on-track-to-meet-commitments-but-is-this-enough/,Aid in countries,ODA
37,https://devinit.org/blog/priorities-uks-incoming-secretary-state-alok-sharma/,UK aid,Development Finance
38,https://devinit.org/blog/proportion-uk-aid-developing-countries-shrink-further/,UK aid,ODA
39,https://devinit.org/blog/review-delivery-global-goals-immediate-priorities-uk-government/,International Finance Architecture,Development Finance
40,https://devinit.org/blog/should-lending-special-drawing-rights-sdrs-count-aid/,Dac rules,ODA
41,https://devinit.org/blog/significant-reforms-are-needed-for-uk-aid-spending-to-remain-transparent-and-poverty-focused/,UK aid,ODA
42,https://devinit.org/blog/strengthening-drm-low-income-countries/,Aid in countries,ODA
43,https://devinit.org/blog/tackling-global-malnutrition-still-top-priority-uk/,UK aid,Development Finance
44,https://devinit.org/blog/target-country-programmable-aid-instead-oda/,Aid in countries,ODA
45,https://devinit.org/blog/the-needs-of-kenyans-by-county-exploring-the-latest-poverty-data/,Domestic finance,Development Finance
46,https://devinit.org/blog/the-un-is-now-75-we-need-a-new-generation-of-global-institutions/,Global Public Investment,Development Finance
47,https://devinit.org/blog/three-steps-towards-an-equitable-tax-agenda-actions-that-should-be-adopted-at-the-addis-tax-initiative-conference-this-week/,International Finance Architecture,Development Finance
48,https://devinit.org/blog/to-build-back-better-from-covid-19-we-need-rapid-structural-change/,International Finance Architecture,Development Finance
49,https://devinit.org/blog/tracking-funding-covid-19-response-commitments-and-disbursements/,International Finance Flows,Development Finance
50,https://devinit.org/blog/tracking-funding-covid-19-response-improving-multilateral-targeting/,International Finance Flows,Development Finance
51,https://devinit.org/blog/transforming-aid-gpi-could-help-achieve-social-justice/,Global Public Investment,Development Finance
52,https://devinit.org/blog/using-near-real-time-data-aid-flows-lessons-learnt/,Global trends,ODA
53,https://devinit.org/blog/what-can-we-expect-uk-aid-global-nutrition/,UK aid,ODA
54,https://devinit.org/blog/what-do-trends-uks-aid-spending-nutrition-tell-us/,UK aid,ODA
55,https://devinit.org/blog/where-we-are-and-where-we-need-to-be-on-financing-for-development/,International Finance Architecture,Development Finance
56,https://devinit.org/blog/why-equity-critical-tackling-malnutrition/,International Finance Architecture,Development Finance
57,https://devinit.org/blog/why-lack-action-coronavirus-africa-puts-us-all-risk/,Global Public Investment,Development Finance
58,https://devinit.org/blog/why-we-need-global-public-investment-after-covid-19/,Global Public Investment,Development Finance
59,https://devinit.org/blog/will-blended-finance-lead-private-sector-growth-developing-countries/,Blended Finance,Development Finance
60,https://devinit.org/blog/will-transforming-global-finance-architecture-deliver-for-poorest-people/,International Finance Architecture,Development Finance
61,https://devinit.org/resources/16807/,Domestic finance,Development Finance
62,https://devinit.org/resources/2017-oda-data/,Global trends,ODA
63,https://devinit.org/resources/adapting-aid-to-end-poverty/,Aid and poverty,ODA
64,https://devinit.org/resources/aid-2021-official-development-assistance-key-facts/,Global trends,ODA
65,https://devinit.org/resources/aid-data-2019-2020-analysis-trends-before-during-covid/,Global trends,ODA
66,https://devinit.org/resources/aid-kenya-covid-19/,Aid in countries,ODA
67,https://devinit.org/resources/aid-ldcs-lldcs-sids-covid-19/,Global trends,ODA
68,https://devinit.org/resources/aid-spent-health-oda-data-donors-sectors-recipients/,Global trends,ODA
69,https://devinit.org/resources/aid-uganda-covid-19/,Aid in countries,ODA
70,https://devinit.org/resources/blended-finance-poorest-people/,Blended Finance,Development Finance
71,https://devinit.org/resources/challenges-data-financing-response-covid-19/,Unclassified,Development Finance
72,https://devinit.org/resources/chinese-lending-to-east-africa-what-the-numbers-tell-us/,International Finance Flows,Development Finance
73,https://devinit.org/resources/closing-gap-priorities-high-level-political-forum-2019/,International Finance Architecture,Development Finance
74,https://devinit.org/resources/coronavirus-and-aid-data-what-latest-dac-data-tells-us/,Global trends,ODA
75,https://devinit.org/resources/coronavirus-uganda-current-and-future-impacts/,Unclassified,Development Finance
76,https://devinit.org/resources/cost-achieving-sdg-3-and-sdg-4-how-complete-are-financing-estimates-health-and-education-goals/,International Finance Flows,Development Finance
77,https://devinit.org/resources/covid-19-and-financing-projections-developing-countries/,International Finance Flows,Development Finance
78,https://devinit.org/resources/cuts-uk-2020-aid-budget-iati-data/,UK aid,ODA
79,https://devinit.org/resources/dfids-aid-spending-for-nutrition-2018/,UK aid,ODA
80,https://devinit.org/resources/dfids-aid-spending-nutrition-2016/,UK aid,ODA
81,https://devinit.org/resources/dfids-aid-spending-nutrition-2017/,UK aid,ODA
82,https://devinit.org/resources/disability-inclusion-western-kenya/,Domestic finance,Development Finance
83,https://devinit.org/resources/domestic-financial-flows-kenya-covid-19/,Domestic finance,Development Finance
84,https://devinit.org/resources/domestic-financial-flows-uganda-covid-19/,Domestic finance,Development Finance
85,https://devinit.org/resources/enabling-environment-private-sector-development/,Private finance,Development Finance
86,https://devinit.org/resources/enhancing-access-safe-water-improved-sanitation-services-kenya/,Unclassified,Development Finance
87,https://devinit.org/resources/fcdos-aid-spending-nutrition-2020/,UK aid,ODA
88,https://devinit.org/resources/final-oda-data-2016-initial-analysis-key-points/,Global trends,ODA
89,https://devinit.org/resources/final-oda-data-2018/,Global trends,ODA
90,https://devinit.org/resources/global-public-investment-africa-sdgs/,Global Public Investment,Development Finance
91,https://devinit.org/resources/government-funding-to-support-disability-inclusion-in-kenya/,Domestic finance,Development Finance
92,https://devinit.org/resources/how-aid-being-impacted-covid-19-and-why-it-so-hard-find-out/,Global trends,ODA
93,https://devinit.org/resources/how-aid-changing-covid-19-pandemic/,Global trends,ODA
94,https://devinit.org/resources/how-are-aid-budgets-changing-due-covid-19-crisis/,Global trends,ODA
95,https://devinit.org/resources/how-can-data-better-support-disability-advocacy-east-africa/,Unclassified,Development Finance
96,https://devinit.org/resources/how-much-aid-reaches-countries-with-greatest-poverty/,Aid and poverty,ODA
97,https://devinit.org/resources/impact-covid-19-aid-financing-equitable-recovery/,Global trends,ODA
98,https://devinit.org/resources/impact-covid-19-development-finance/,International Finance Architecture,Development Finance
99,https://devinit.org/resources/implications-coronavirus-financing-sustainable-development/,International Finance Architecture,Development Finance
100,https://devinit.org/resources/investments-end-poverty-2018/,International Finance Flows,Development Finance
101,https://devinit.org/resources/is-the-201920-uganda-budget-pro-poor/,Domestic finance,Development Finance
102,https://devinit.org/resources/kenya-increasing-loans-international-financial-institutions/,International Finance Flows,Development Finance
103,https://devinit.org/resources/kenyas-201920-budget-and-the-big-four-agenda-a-pro-poor-analysis/,Domestic finance,Development Finance
104,https://devinit.org/resources/kenyas-covid-19-budget-funding-for-health-and-welfare/,Domestic finance,Development Finance
105,https://devinit.org/resources/matching-disability-approved-allocations-actual-spending-performance/,Domestic finance,Development Finance
106,https://devinit.org/resources/merging-dfid-and-fco-implications-uk-aid/,UK aid,ODA
107,https://devinit.org/resources/oda-2020-2021-key-trends-before-during-emerging-crises/,Global trends,ODA
108,https://devinit.org/resources/oda-2020-what-does-oecd-dac-preliminary-data-tell-us/,Global trends,ODA
109,https://devinit.org/resources/oda-data-2017/,Global trends,ODA
110,https://devinit.org/resources/oda-domestic-resource-mobilisation-working/,Aid in countries,ODA
111,https://devinit.org/resources/oda-domestic-revenue-mobilisation/,Aid in countries,ODA
112,https://devinit.org/resources/oda-loans-accounting/,Dac rules,ODA
113,https://devinit.org/resources/one-percent-gni-external-public-finance-target-scenarios/,International Finance Architecture,Development Finance
114,https://devinit.org/resources/ongoing-impacts-pandemic-development-finance/,International Finance Flows,Development Finance
115,https://devinit.org/resources/own-source-revenue-mobilisation/,Domestic finance,Development Finance
116,https://devinit.org/resources/poverty-uganda-national-and-regional-data-and-trends/,Unclassified,Development Finance
117,https://devinit.org/resources/preliminary-oda-data-2018-total-falls-for-second-consecutive-year/,Global trends,ODA
118,https://devinit.org/resources/pro-poor-analysis-kenyas-201819-budget-estimates/,Domestic finance,Development Finance
119,https://devinit.org/resources/progress-health-and-wash-in-kenyas-poorest-asal-counties/,Unclassified,Development Finance
120,https://devinit.org/resources/refocus-oda-end-poverty-meet-sdgs/,Aid and poverty,ODA
121,https://devinit.org/resources/reversing-trends-leave-ldcs-behind/,Global trends,ODA
122,https://devinit.org/resources/should-global-public-investment-finance-social-protection/,Global Public Investment,Development Finance
